"term","lasso_coef","relaxed_estimate","relaxed_p"
"lol",0.319151356311788,0.439387933524135,1.04536295336657e-11
"sorry",0.216891549804646,0.316094948512641,6.25638285226379e-07
"please",0.190599958489055,0.234543970524046,1.90630665460408e-05
"read",0.168073043167563,0.181607699817889,6.61592568284497e-06
"literally",0.160275126871635,0.177576144301405,1.02726526590506e-06
"comment",0.151110398218799,0.206162378862757,2.55341694321459e-05
"irrelevant",0.146733041067489,0.256714738743992,0.000458390114085657
"arguments",0.137904964252322,0.179816731054934,0.00120833841699169
"shit",0.109124987509055,0.157262091627237,0.000540392389642459
"discussion",0.105358006791259,0.151686268010452,0.00317316781553379
"said",0.0984985656847293,0.0682335588829816,0.00419605414606858
"conversation",0.073432984589502,0.155432350190534,0.0127981445740574
"talking",0.0725295232554945,0.088310348855651,0.0082768566087081
"yeah",0.0723093832703877,0.158714459103483,0.00278198386443931
"provide",0.0678509225359889,0.124668087286842,0.0260407138707294
"answer",0.0602159835189369,0.133273404113832,0.00763068532319302
"claim",0.055443654981187,0.0734965795309332,0.0560538554257345
"words",0.0529328864778198,0.107958330895962,0.0163646314053893
"fucking",0.0475975533016164,0.100632735167714,0.022558072819143
"evidence",0.0459511338451399,0.0594062338738538,0.0409905542776239
"yes",0.0415649961534932,0.0581775343668779,0.0879532207324262
"argument",0.0393975926066754,0.036009854176421,0.140436398132887
"fact",0.0347765058515338,0.0230211620134836,0.451288720450182
"know",0.0295223513503377,0.00968963810423646,0.645764388828126
"asked",0.020481577771012,0.131208396991817,0.0610671115920923
