speaker,n_comments,n_awry_comments,pct_awry
-AragornElessar-,50,25,50
10ebbor10,141,57,40.4
2r1t,52,25,48.1
3720-To-One,135,65,48.1
47ca05e6209a317a8fb3,43,19,44.2
ACrusaderA,49,23,46.9
AloysiusC,58,32,55.2
AlwaysABride,58,24,41.4
Ansuz07,283,149,52.7
AnythingApplied,84,34,40.5
Ardonpitt,58,38,65.5
Arguetur,68,36,52.9
ArmchairSlacktavist,57,40,70.2
Babou_FoxEarAHole,53,38,71.7
BackAlleySurgeon,43,21,48.8
BenIncognito,129,70,54.3
BingBlessAmerica,41,15,36.6
Biptoslipdi,88,63,71.6
Bladefall,71,38,53.5
BlitzBasic,41,15,36.6
BolshevikMuppet,78,50,64.1
Bookwrrm,60,44,73.3
BuddhaPunch1,43,19,44.2
Burflax,128,64,50
Canada_Constitution,45,22,48.9
CheesecakeMedium8500,60,48,80
Clouds_are_wet,42,24,57.1
CoyotePatronus,94,70,74.5
Craftsmaniac,70,62,88.6
Crafty_Possession_52,51,28,54.9
CrinkleLord,71,27,38
CyberneticWhale,56,18,32.1
DBDude,44,21,47.7
DHCKris,70,26,37.1
Darq_At,41,12,29.3
Det_,65,24,36.9
DjangoUBlackBastard,53,36,67.9
DrinkyDrank,79,40,50.6
ElysiX,61,33,54.1
Eng_Queen,55,21,38.2
Feathring,62,23,37.1
Fit-Order-9468,48,32,66.7
GameOfSchemes,67,42,62.7
Genoscythe_,114,42,36.8
Giblette101,50,12,24
Gladix,82,37,45.1
Glory2Hypnotoad,76,20,26.3
GnosticGnome,261,78,29.9
GodoftheCopyBooks,50,39,78
Grunt08,120,88,73.3
Havenkeld,78,29,37.2
Hellioning,232,99,42.7
Helpfulcloning,91,26,28.6
HijacksMissiles,61,41,67.2
Hq3473,128,76,59.4
Hugogs10,44,33,75
Huntingmoa,97,38,39.2
I_am_the_night,313,174,55.6
Intrepid-Client9449,44,25,56.8
Iswallowedafly,279,166,59.5
ItsPandatory,57,27,47.4
IwasBlindedbyscience,85,54,63.5
JohnReese20,74,28,37.8
KevinWester,57,23,40.4
Kirbyoto,110,64,58.2
Lagkiller,64,50,78.1
LetMeNotHear,55,31,56.4
Littlepush,45,15,33.3
Long-Rate-445,67,47,70.1
Love_Shaq_Baby,114,55,48.2
Lox-droplet,40,23,57.5
LucidMetal,192,107,55.7
LysenkoistReefer,44,12,27.3
MMAchica,63,34,54
Madauras,43,17,39.5
Madplato,77,21,27.3
Major_Lennox,49,42,85.7
MasterGrok,70,34,48.6
McKoijion,111,47,42.3
MercurianAspirations,200,81,40.5
Milskidasith,117,48,41
Mitoza,213,141,66.2
MontiBurns,62,34,54.8
Morasain,72,31,43.1
Morthra,83,55,66.3
MuaddibMcFly,69,53,76.8
MysticInept,46,17,37
Narrow_Cloud,51,33,64.7
NearEmu,77,51,66.2
Nepene,75,45,60
Nephisimian,48,17,35.4
NetrunnerCardAccount,51,22,43.1
Nicolasv2,72,43,59.7
NotMyBestMistake,85,60,70.6
Personage1,42,30,71.4
PmMeYourDaddy-Issues,53,32,60.4
Poo-et,67,31,46.3
PreacherJudge,255,104,40.8
Prepure_Kaede,62,31,50
Presentalbion,69,36,52.2
PrimeLegionnaire,87,65,74.7
Prinnyramza,75,47,62.7
ProfessorHeartcraft,45,39,86.7
Puddinglax,43,23,53.5
Rainbwned,106,31,29.2
Roller95,41,13,31.7
RuroniHS,46,33,71.7
SC803,121,68,56.2
Sagasujin,44,16,36.4
Salanmander,74,28,37.8
ServingSailor,56,28,50
SeymoreButz38,41,22,53.7
Sheexthro,113,67,59.3
Shiboleth17,46,28,60.9
ShiningConcepts,63,25,39.7
Sirhc978,51,16,31.4
Slothjitzu,57,26,45.6
Subtleiaint,84,36,42.9
SuckMyBike,59,15,25.4
TheFakeChiefKeef,41,19,46.3
TheVioletBarry,80,47,58.8
Thoth_the_5th_of_Tho,112,41,36.6
Throwaway00000000028,42,25,59.5
Tibaltdidnothinwrong,91,41,45.1
Tino_,72,29,40.3
ToucanPlayAtThatGame,54,28,51.9
TripRichert,105,37,35.2
Turbo_Donut,44,20,45.5
TuskaTheDaemonKilla,75,39,52
UncleMeat11,52,32,61.5
VVillyD,64,35,54.7
VertigoOne,59,22,37.3
Vesurel,72,21,29.2
WeepingAngelTears,45,27,60
WolfBatMan,41,16,39
World_Spank_Bank,43,15,34.9
YourViewisBadFaith,43,37,86
Z7-852,99,48,48.5
ZeusThunder369,54,21,38.9
anewleaf1234,42,16,38.1
anonoman925,64,26,40.6
badabinglove,42,22,52.4
badoosh123,49,14,28.6
barbodelli,114,58,50.9
barthiebarth,50,36,72
be_decent_today,43,20,46.5
beer2daybong2morrow,42,20,47.6
beer_demon,43,33,76.7
bguy74,61,46,75.4
breckenridgeback,50,31,62
cacheflow,69,33,47.8
caine269,65,37,56.9
cat_of_danzig,41,22,53.7
caw81,66,23,34.8
cdb03b,168,80,47.6
chadonsunday,70,34,48.6
championofobscurity,154,89,57.8
cherrycokeicee,56,17,30.4
colt707,49,11,22.4
cowfishAreReal,51,30,58.8
cupcakesarethedevil,81,25,30.9
dantheman91,54,27,50
darwin2500,53,26,49.1
destro23,101,47,46.5
dickposner,47,34,72.3
direwolf106,50,34,68
draculabakula,40,20,50
drpussycookermd,97,53,54.6
dublea,149,67,45
dudemanwhoa,54,29,53.7
edwardlleandre,225,151,67.1
eggynack,41,18,43.9
empurrfekt,41,19,46.3
foot_kisser,48,24,50
forestfly1234,133,79,59.4
fox-mcleod,254,135,53.1
garnteller,49,34,69.4
generic1001,53,28,52.8
gothpunkboy89,103,56,54.4
gremy0,50,36,72
hacksoncode,182,84,46.2
hashtagboosted,46,16,34.8
hmmwill,47,26,55.3
huadpe,67,30,44.8
iamintheforest,87,25,28.7
icecoldbath,43,18,41.9
icedpickles,40,20,50
illerThanTheirs,41,22,53.7
in_cavediver,102,45,44.1
incruente,48,14,29.2
iwfan53,165,48,29.1
jatjqtjat,66,16,24.2
jennysequa,51,26,51
joopface,63,23,36.5
jt4,88,33,37.5
jumpup,40,15,37.5
jzpenny,50,25,50
kublahkoala,48,15,31.2
laconicflow,49,18,36.7
malachai926,81,51,63
mfDandP,89,15,16.9
miguelguajiro,154,56,36.4
moonflower,97,59,60.8
morerandom2020,70,35,50
mrgoodnighthairdo,56,32,57.1
muyamable,110,58,52.7
natha105,46,21,45.7
needletothebar,55,28,50.9
notasnerson,47,29,61.7
nowthatsucks,92,45,48.9
on_my_lunch_break,47,33,70.2
page0rz,54,32,59.3
parentheticalobject,60,22,36.7
pillbinge,48,29,60.4
plushiemancer,40,27,67.5
posnfen,45,20,44.4
professorcap987,65,26,40
projectaskban,47,21,44.7
prollywannacracker,87,45,51.7
qwertx0815,46,33,71.7
radialomens,141,71,50.4
ralph-j,130,39,30
renoops,43,24,55.8
riobrandos,49,33,67.3
s_wipe,46,18,39.1
sailorbrendan,69,16,23.2
sapphireminds,60,17,28.3
sawdeanz,58,12,20.7
sclsmdsntwrk,43,18,41.9
scottevil110,178,80,44.9
silverionmox,48,28,58.3
speedyjohn,65,42,64.6
stubble3417,41,9,22
tammy-hell,51,36,70.6
tbdabbholm,103,32,31.1
teerre,44,26,59.1
thetasigma4,64,30,46.9
thethoughtexperiment,56,15,26.8
thinkingpains,72,31,43.1
thisdamnhoneybadger,45,19,42.2
tkyjonathan,46,21,45.7
toldyaso,63,38,60.3
tomgabriele,44,28,63.6
verylittlefinger,42,31,73.8
vettewiz,153,86,56.2
vl99,40,13,32.5
waldrop02,161,76,47.2
xmuskorx,59,38,64.4
yyzjertl,324,134,41.4
z3r0shade,52,33,63.5
zuluportero,47,16,34
