"term","coef_minority","coef_wholecorpus"
"lol",0.316346802744441,0.319151356311788
"dude",0.21374769830498,NA
"sorry",0.213135700222161,0.216891549804646
"please",0.185289926884523,0.190599958489055
"read",0.165434032657009,0.168073043167563
"literally",0.156041045602341,0.160275126871635
"irrelevant",0.146480581726582,0.146733041067489
"comment",0.14388025886116,0.151110398218799
"arguments",0.130476943142678,0.137904964252322
"bullshit",0.129689004899351,NA
"thread",0.12941650905629,NA
"years.ago",0.127935979098508,NA
"shit",0.101628579559603,0.109124987509055
"discussion",0.100309891323091,0.105358006791259
"said",0.0937896059212477,0.0984985656847293
"stated",0.0854852243200701,NA
"conversation",0.071854105263789,0.073432984589502
"talking",0.0691666552854076,0.0725295232554945
"admit",0.0661965566311638,NA
"yeah",0.0658692616061134,0.0723093832703877
"provide",0.0653840245460971,0.0678509225359889
"answer",0.0583260534310925,0.0602159835189369
"claim",0.0533506270792501,0.055443654981187
"words",0.0511437450896308,0.0529328864778198
"evidence",0.043475783521309,0.0459511338451399
"fucking",NA,0.0475975533016164
"yes",NA,0.0415649961534932
"argument",NA,0.0393975926066754
"fact",NA,0.0347765058515338
"know",NA,0.0295223513503377
"asked",NA,0.020481577771012
